AÑO;MES;PAIS_ORIGEN;CCAA;KEY;PROVINCIA;INIDICE_PERCEPCION_TURISTICA_GLOBAL;INDICE_SATISFACCION_PRODUCTOS_TURISTICOS;INDICE_PERCEPCION_SEGURIDAD;INDICE_PERCEPCION_CLIMATICA;Afluencia
2022;11;Reino Unido;Comunitat Valenciana;2022Comunitat Valenciana;Valencia/València;82,05;71,5;88,56;88,64;75097560
2022;11;Reino Unido;Illes Balears;2022Illes Balears;Illes Balears;72,66;49,41;92,52;88,86;129479670
2022;11;Reino Unido;País Vasco;2022País Vasco;Bizkaia;77,48;71,67;82,33;86,84;23385180
2022;11;Reino Unido;País Vasco;2022País Vasco;Gipuzkoa;82,06;69,7;89,24;83,97;23385180
2022;11;Reino Unido;Región de Murcia;2022Región de Murcia;Murcia;66,84;66,18;80,71;42,53;9521960
2022;11;Total;Andalucía;2022Andalucía;Almería;80,86;66,66;87,12;78,91;102913750
2022;11;Total;Andalucía;2022Andalucía;Cádiz;84,16;68,31;91,12;85,32;102913750
2022;11;Total;Andalucía;2022Andalucía;Córdoba;82,35;67,11;88,18;83,05;102913750
2022;11;Total;Andalucía;2022Andalucía;Granada;84,45;71,47;91,81;81,87;102913750
2022;11;Total;Andalucía;2022Andalucía;Huelva;83,89;68,87;89,8;85,16;102913750
2022;11;Total;Andalucía;2022Andalucía;Jaén;83,92;65,59;92,13;86,42;102913750
2022;11;Total;Andalucía;2022Andalucía;Málaga;86,87;70,06;94,11;90,49;102913750
2022;11;Total;Andalucía;2022Andalucía;Sevilla;83,94;64,1;89,62;91,28;102913750
2022;11;Total;Aragón;2022Aragón;Huesca;86,28;72,91;94,89;83,75;9213130
2022;11;Total;Aragón;2022Aragón;Teruel;70,53;53,66;65,28;79,38;9213130
2022;11;Total;Aragón;2022Aragón;Zaragoza;81,82;59,47;96,09;80,6;9213130
2022;11;Total;Canarias;2022Canarias;Las Palmas;86,55;73,21;95,18;84,12;120812470
2022;11;Total;Canarias;2022Canarias;Santa Cruz de Tenerife;85,02;70,46;92,1;85;120812470
2022;11;Total;Cantabria;2022Cantabria;Cantabria;85,1;71,03;93,88;82,5;3625070
2022;11;Total;Castilla - La Mancha;2022Castilla - La Mancha;Albacete;82,93;69,21;85,32;86,3;8851320
2022;11;Total;Castilla - La Mancha;2022Castilla - La Mancha;Ciudad Real;83,19;70,67;88,3;82;8851320
